ticker,price,open,high,low,volume,change,pct_change,date
VIC,196000.0,193000.0,196100.0,191900.0,1724122,0.0,0.0,2026-06-11
VHM,144500.0,145600.0,146700.0,144000.0,1714857,-2300.0,-1.57,2026-06-11
VNM,59200.0,58800.0,59600.0,58500.0,1809873,300.0,0.51,2026-06-11
HPG,23300.0,23500.0,23550.0,23300.0,12138365,-300.0,-1.27,2026-06-11
MWG,76900.0,78300.0,78500.0,76900.0,3722317,-1300.0,-1.66,2026-06-11
TCB,30850.0,30950.0,31050.0,30800.0,7602493,-100.0,-0.32,2026-06-11
VCB,61600.0,61500.0,61900.0,61300.0,2596509,-100.0,-0.16,2026-06-11
BID,41400.0,41300.0,41600.0,41100.0,1571757,-250.0,-0.6,2026-06-11
CTG,33350.0,33350.0,33450.0,33250.0,3953536,-150.0,-0.45,2026-06-11
FPT,73100.0,73900.0,73900.0,73100.0,3530731,-1100.0,-1.48,2026-06-11
